ZPL000136D,COCA-COLA USA,09004356,10151 CARVER RD,CINCINNATI,OH,US,71
ZPL0001400,CCR FOODSERVICE WEST 6TH FL,04006602,3 PARK PLZ STE 600,IRVINE,CA,US,71
ZPL1000529,Quarantine,10101010,Unknown,Watchlist,,,
ZPL300024A,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,71
ZPL3000255,Training Dispenser,10101010,1150 Sanctuary Parkway,Alpharetta,GA,,71
ZPL3000260,FUDDRUCKERS,09315373,9845 W INTERSTATE 10,SAN ANTONIO,TX,US,71
ZPL300029L,TCU RESIDENT DINING,02155508,2901 STADIUM DR,FORT WORTH,TX,US,71
ZPL300030N,FUDDRUCKERS,06157802,11023 PECAN PARK BLVD,CEDAR PARK,TX,US,71
ZPL300032D,WINGSTOP,05426451,4210 MACDONALD AVE STE D,RICHMOND,CA,US,71
ZPL3000338,FUDDRUCKERS,04746176,2111 N INTERSTATE 35 STE 380,ROUND ROCK,TX,US,71
ZPL3000343,PEI WEI ASIAN DINER,01117108,7135 S KINGERY HWY,WILLOWBROOK,IL,US,71
ZPL300035Y,FUDDRUCKERS,07442904,8602 BOTTS ST,SAN ANTONIO,TX,US,71
ZPL300038J,GODFATHERS PIZZA,09659242,11140 SW BARNES RD,PORTLAND,OR,US,71
ZPL300039E,PEI WEI ASIAN DINER,01117108,7135 S KINGERY HWY,WILLOWBROOK,IL,US,71
ZPL300040G,WINGSTOP BANDERA FESTIVAL,06019256,8425 BANDERA RD STE 156-1,SAN ANTONIO,TX,US,71
ZPL300041B,FUDDRUCKERS,07752709,4024 S LAMAR BLVD,AUSTIN,TX,US,71
ZPL3000426,FUDDRUCKERS,07752709,4024 S LAMAR BLVD,AUSTIN,TX,US,71
ZPL3000431,FUDDRUCKERS,03952207,115 ALAMO PLAZA,SAN ANTONIO,TX,US,71
ZPL300044W,FUDDRUCKERS,06157802,11023 PECAN PARK BLVD,CEDAR PARK,TX,US,71
ZPL300045R,FUDDRUCKERS,07442904,8602 BOTTS ST,SAN ANTONIO,TX,US,71
ZPL300046M,BOUDINS SOURDOUGH BAKERY,02157905,251 GEARY ST,SAN FRANCISCO,CA,US,71
ZPL300047H,BURGER KING,07115792,2988 S RIDGEWOOD AVE,EDGEWATER,FL,US,71
ZPL300048C,SUBWAY,01290539,12353 SEAL BEACH BLVD,SEAL BEACH,CA,US,71
ZPL3000497,PEI WEI ASIAN DINER,07358844,3426 E BASELINE RD STE 121,MESA,AZ,US,71
ZPL3000509,PEI WEI ASIAN DINER,07358844,3426 E BASELINE RD STE 121,MESA,AZ,US,71
ZPL3000514,EL TACO TOTE REAL MEXICAN GRIL,05352678,1340 N WILMOT RD,TUCSON,AZ,US,71
ZPL300052Z,EL TACO TOTE REAL MEXICAN GRIL,05352678,1340 N WILMOT RD,TUCSON,AZ,US,71
ZPL300053U,BUCKHORN GRILL,01910927,1201 NAPA TOWN CTR,NAPA,CA,US,71
ZPL300054P,BAJA FRESH,01932416,250 PARK AVE W STE 102,ATLANTA,GA,US,71
ZPL300055K,FAZOLI'S,03924046,2512 S SONCY RD,AMARILLO,TX,US,71
