NUMBER	ID	LABEL

231773	5084	"Product Agitator ran.  Time in seconds"
164508	1004	"Recipe Control: Completed.  Command, FSM State"
138069	5042	"IHM: Ingredient fuel gauge changed. Now -4769926 mL See [ingredientID,busHdl]."
116478	4	"Recipe:StartPour{ Volume = 241, Recipe = 624 } "
68624	1002	"Recipe Set succeeded [subCode=rcpID,ack,retStat]"
41786	1003	"Recipe Test failed"
19503	3908	"EAR SW Version"
19499	3900	"EAR: RFIDInitialize failed"
17326	1115	"Recipe Control: invalid input command"
16002	1	"AlertLightManager::Set(0) FAILED: unknown state ignored"
14697	9054	"PTPB: PTPB <-- up, interval = 3745"
13973	1201	"Recipe unavailable"
11982	8	"ADA: Enter/Pour Button <-- up"
10270	5043	"IHM: Ingredient is unhealthy because it needs purging.  See [ingredientID,busHd"
9416	1200	"Recipe available"
9007	3013	"CAN controller overrun. canline"
6647	9056	"PTPB: ICE <-- up"
6637	9055	"PTPB: ICE <-- down"
6619	5001	"MachineManager::updateDoor: Main door closed!"
6612	5000	"MachineManager::updateDoor: Main door opened!"
6547	5085	"Ice dispensed.  Time in seconds"
6407	5030	"A CAN Error condition occurred at the UIM. [See canline]"
5642	5040	"IHM: Ingredient found.  See [ingredientID,busHdl]."
5110	5041	"IHM: Ingredient lost.  See [ingredientID,busHdl]."
4547	6	"ADA: Right Button <-- up"
4223	7098	"Error from device. SN, busHandle"
4216	7009	"Error from device. SN, busHandle"
3895	3005	"USR_SDO_Read Failed. node, index"
3514	7047	"Error from device. SN, busHandle"
2963	3014	"Node Pre-Operational. Queue node for enumeration. node"
1967	16	"Leaving Login Screen"
1756	0	"::IsAdapterActive() Number of Interfaces Present[2]."
1618	5065	"Agitation deferred - need a startup mode agitation cycle"
1608	5031	"HW Detected! serial #, busHandle"
1415	3071	"SDO-R all retries failed [node/idx-sub/retries]"
1289	2	"CModeManager::LoadModeProgressEventsThreadProc:, ThreadID = 72b3f4e"
898	10	"ADA: Wheelchair Button <-- up"
741	5111	"UBD:10/31/13,SF:3,TB:1,TM:0x801,TT:0x105"
741	5110	"UIN:0x4008446D,FG:621,SO:0,TM:0x801,TT:0x105"
712	3006	"USR_SDO_Write Failed. node, index"
681	3073	"SDO-W all retries failed [node/idx-sub/retries]"
671	5045	"IHM: Ingredient is unable to deliver. See [ingredientID,busHdl]."
