dspn_ser_nbr	sys_log_tmst	sys_log_msg_cd	sys_log_msg_sub_cd	sys_log_msg_val1	sys_log_msg_val2	sys_log_msg_txt
"ZPL313696J"	2013-09-01 00:00:00	7047	0	1192107	353	"Error from device. SN, busHandle"
"ZPL3135704"	2013-09-01 00:00:00	6	8	0	0	"ADA: Right Button <-- up"
"ZPL311255U"	2013-09-01 00:00:00	8	8	0	0	"ADA: Enter/Pour Button <-- up"
"ZPL313696J"	2013-09-01 00:00:00	7047	0	1192107	353	"Error from device. SN, busHandle"
"ZPL3149707"	2013-09-01 00:00:00	9055	8	0	0	"PTPB: ICE <-- down"
"ZPL311247R"	2013-09-01 00:00:00	9054	8	0	0	"PTPB: PTPB <-- up, interval = 3745"
"ZPL300597P"	2013-09-01 00:00:00	5042	0	1048580	296	"IHM: Ingredient fuel gauge changed. Now -4769926 mL See [ingredientID,busHdl]."
"ZPL308170Q"	2013-09-01 00:00:00	5042	0	1048857	393	"IHM: Ingredient fuel gauge changed. Now 311 mL See [ingredientID,busHdl]."
"ZPL308170Q"	2013-09-01 00:00:00	5042	0	1048856	392	"IHM: Ingredient fuel gauge changed. Now 312 mL See [ingredientID,busHdl]."
"ZPL309072C"	2013-09-01 00:00:00	5042	0	1048736	395	"IHM: Ingredient fuel gauge changed. Now 529 mL See [ingredientID,busHdl]."
"ZPL3032922"	2013-09-01 00:00:00	5042	0	1049061	377	"IHM: Ingredient fuel gauge changed. Now 498 mL See [ingredientID,busHdl]."
"ZPL3032922"	2013-09-01 00:00:00	5042	0	1049060	376	"IHM: Ingredient fuel gauge changed. Now 498 mL See [ingredientID,busHdl]."
"ZPL3032922"	2013-09-01 00:00:00	5042	0	1048600	296	"IHM: Ingredient fuel gauge changed. Now 4075240 mL See [ingredientID,busHdl]."
"ZPL3032922"	2013-09-01 00:00:00	5042	0	1048584	288	"IHM: Ingredient fuel gauge changed. Now 3274182 mL See [ingredientID,busHdl]."
